policy,rows,retry_count,retry_rate,recovered_count,recovered_rate,recovered_volume_usd,gross_margin_recovered_usd,wasted_retry_count,wasted_retry_cost_usd,friction_cost_usd,realized_net_value_usd,average_retry_probability
ml_policy,1845,1263,0.6845528455284553,244,0.13224932249322494,81601.68000000001,28560.587999999996,1019,122.28,37.89,28400.417999999998,0.21446499556265147
rules_policy,1845,1524,0.8260162601626017,248,0.13441734417344173,81810.22,28633.576999999997,1276,153.12,45.72,28434.736999999997,0.34888451443569557
