segment_column,segment_value,rows,positive_rate,auc,precision,recall,f1
merchant_country,US,364,0.1346153846153846,0.667897635244574,0.18439716312056736,0.5306122448979592,0.2736842105263158
merchant_country,DE,181,0.1712707182320442,0.7475268817204301,0.2602739726027397,0.6129032258064516,0.36538461538461536
merchant_country,GB,160,0.075,0.7725225225225225,0.16666666666666666,0.5833333333333334,0.25925925925925924
merchant_country,BR,126,0.12698412698412698,0.634090909090909,0.0,0.0,0.0
merchant_country,IN,110,0.01818181818181818,0.6759259259259259,0.0,0.0,0.0
merchant_country,FR,110,0.16363636363636364,0.6878019323671497,0.1724137931034483,0.2777777777777778,0.21276595744680854
merchant_country,JP,69,0.07246376811594203,0.509375,0.041666666666666664,0.2,0.06896551724137931
merchant_country,AE,55,0.07272727272727272,0.8627450980392157,1.0,0.25,0.4
merchant_vertical,ecom,488,0.09016393442622951,0.7563472563472563,0.17757009345794392,0.4318181818181818,0.25165562913907286
merchant_vertical,saas,340,0.047058823529411764,0.7652391975308642,0.09836065573770492,0.375,0.15584415584415584
merchant_vertical,marketplace,304,0.1513157894736842,0.7522750252780587,0.28125,0.391304347826087,0.3272727272727273
merchant_vertical,travel,264,0.14393939393939395,0.6924778761061947,0.2,0.3684210526315789,0.25925925925925924
merchant_vertical,high_risk,253,0.11857707509881422,0.7420029895366218,0.19230769230769232,0.5,0.2777777777777778
merchant_vertical,digital_goods,196,0.09183673469387756,0.7191011235955056,0.175,0.3888888888888889,0.24137931034482757
processor_name,global-acquirer-b,360,0.13055555555555556,0.7455645435388485,0.24358974358974358,0.40425531914893614,0.304
processor_name,global-acquirer-a,276,0.12681159420289856,0.751985773562537,0.2112676056338028,0.42857142857142855,0.2830188679245283
processor_name,high-risk-or-orchestrator-a,200,0.12,0.732717803030303,0.2,0.5833333333333334,0.2978723404255319
processor_name,regional-card-specialist-b,190,0.07894736842105263,0.7371428571428571,0.1282051282051282,0.3333333333333333,0.18518518518518517
processor_name,cross-border-fx-specialist-a,190,0.08947368421052632,0.7463447806868412,0.1875,0.35294117647058826,0.24489795918367344
processor_name,regional-card-specialist-a,180,0.1,0.6467764060356653,0.08823529411764706,0.16666666666666666,0.11538461538461539
processor_name,cross-border-fx-specialist-b,179,0.03910614525139665,0.7558139534883721,0.06666666666666667,0.2857142857142857,0.10810810810810811
processor_name,high-risk-or-orchestrator-b,174,0.13218390804597702,0.7912467607255975,0.2692307692307692,0.6086956521739131,0.37333333333333335
response_code,05,729,0.1289437585733882,0.6253978890936506,0.14917127071823205,0.2872340425531915,0.19636363636363635
response_code,51,478,0.15271966527196654,0.6493488922712667,0.2146341463414634,0.6027397260273972,0.3165467625899281
response_code,54,114,0.0,,0.0,0.0,0.0
response_code,57,99,0.030303030303030304,0.2534722222222222,0.0,0.0,0.0
response_code,62,88,0.0,,0.0,0.0,0.0
response_code,14,61,0.0,,0.0,0.0,0.0
response_code,91,42,0.21428571428571427,0.6296296296296297,0.2857142857142857,0.4444444444444444,0.34782608695652173
response_code,61,33,0.06060606060606061,0.5967741935483871,0.0,0.0,0.0
