segment_column,segment_value,rows,positive_rate,auc,precision,recall,f1
merchant_country,US,364,0.12362637362637363,0.7024730059212818,0.1865671641791045,0.5555555555555556,0.2793296089385475
merchant_country,DE,181,0.12154696132596685,0.5920526014865638,0.1388888888888889,0.45454545454545453,0.21276595744680854
merchant_country,GB,160,0.11875,0.7484135871593879,0.17647058823529413,0.47368421052631576,0.2571428571428572
merchant_country,BR,126,0.10317460317460317,0.7147719537100068,0.16393442622950818,0.7692307692307693,0.2702702702702703
merchant_country,IN,110,0.18181818181818182,0.7055555555555556,0.2978723404255319,0.7,0.417910447761194
merchant_country,FR,110,0.2545454545454545,0.7534843205574913,0.37037037037037035,0.7142857142857143,0.4878048780487805
merchant_country,JP,69,0.10144927536231885,0.695852534562212,0.15789473684210525,0.8571428571428571,0.26666666666666666
merchant_country,AE,55,0.07272727272727272,0.7450980392156863,0.10526315789473684,0.5,0.17391304347826086
merchant_vertical,ecom,488,0.1290983606557377,0.7431932773109243,0.2107843137254902,0.6825396825396826,0.3220973782771535
merchant_vertical,saas,340,0.061764705882352944,0.8716226302433199,0.21333333333333335,0.7619047619047619,0.3333333333333333
merchant_vertical,marketplace,304,0.14144736842105263,0.6976744186046512,0.20300751879699247,0.627906976744186,0.3068181818181818
merchant_vertical,travel,264,0.19318181818181818,0.601123078339317,0.23684210526315788,0.5294117647058824,0.3272727272727273
merchant_vertical,high_risk,253,0.17391304347826086,0.6818181818181818,0.23880597014925373,0.7272727272727273,0.3595505617977528
merchant_vertical,digital_goods,196,0.1326530612244898,0.7513574660633484,0.23376623376623376,0.6923076923076923,0.34951456310679613
processor_name,global-acquirer-b,360,0.14444444444444443,0.696491008991009,0.21341463414634146,0.6730769230769231,0.32407407407407407
processor_name,global-acquirer-a,276,0.14130434782608695,0.7435897435897436,0.24761904761904763,0.6666666666666666,0.3611111111111111
processor_name,high-risk-or-orchestrator-a,200,0.175,0.7489177489177489,0.28865979381443296,0.8,0.42424242424242414
processor_name,regional-card-specialist-b,190,0.10526315789473684,0.7711764705882352,0.19718309859154928,0.7,0.3076923076923077
processor_name,cross-border-fx-specialist-a,190,0.08421052631578947,0.6641522988505747,0.10416666666666667,0.3125,0.15625
processor_name,regional-card-specialist-a,180,0.13333333333333333,0.7011217948717948,0.19444444444444445,0.5833333333333334,0.2916666666666667
processor_name,cross-border-fx-specialist-b,179,0.1340782122905028,0.7279569892473118,0.21951219512195122,0.375,0.27692307692307694
processor_name,high-risk-or-orchestrator-b,174,0.16666666666666666,0.7728894173602854,0.27058823529411763,0.7931034482758621,0.40350877192982454
response_code,05,729,0.14540466392318244,0.6812138465731852,0.20958083832335328,0.660377358490566,0.3181818181818181
response_code,51,478,0.18828451882845187,0.6025773195876288,0.2073170731707317,0.5666666666666667,0.3035714285714286
response_code,54,114,0.0,,0.0,0.0,0.0
response_code,57,99,0.13131313131313133,0.7871198568872988,0.25,0.8461538461538461,0.38596491228070173
response_code,62,88,0.0,,0.0,0.0,0.0
response_code,14,61,0.0,,0.0,0.0,0.0
response_code,91,42,0.40476190476190477,0.8094117647058824,0.5652173913043478,0.7647058823529411,0.65
response_code,61,33,0.09090909090909091,0.7333333333333333,0.2,0.6666666666666666,0.30769230769230765
